source,target,n
682,2103,14
792,2103,2
808,2103,2
2075,2103,4
501,1874,2
2077,1874,2
585,2106,2
496,2106,2
505,2106,2
893,2106,2
2099,2106,2
32,2107,2
117,2107,7
495,2107,2
1343,2107,19
1360,2107,17
1452,2107,4
1,2108,140
33,2108,3
47,2108,3
58,2108,7
197,2108,4
242,2108,4
490,2108,3
537,2108,3
914,2108,3
973,2108,2
982,2108,3
988,2108,2
1062,2108,21
1074,2108,2
1131,2108,6
1216,2108,2
1245,2108,2
1262,2108,9
1302,2108,2
1324,2108,495
1537,2108,2
1571,2108,3
616,2108,6
682,2108,134
649,2108,5
793,2108,2
905,2108,19
2431,2108,6
1645,2108,2
1710,2108,4
1727,2108,27
1751,2108,3
1795,2108,4
1820,2108,8
1877,2108,2
1928,2108,9
2075,2108,6
2087,2108,5
2103,2108,12
119,2114,2
185,2114,2
551,2114,2
556,2114,2
507,2114,2
1061,2114,2
782,2114,2
1035,2116,2
857,2116,2
1820,2116,2
1889,2116,5
1896,2116,3
2004,2116,6
1324,2119,2
1153,2122,3
1293,2122,2
1324,2122,4
26,2126,8
153,2126,3
994,2126,9
1324,2126,4
113,2127,9
1324,2127,5
817,2127,2
1605,2127,3
1,2128,10
33,2128,12
1062,2128,8
1324,2128,4
682,2128,3
649,2128,8
2108,2128,3
872,2129,2
12,2131,2
575,2131,2
1784,2131,2
1617,2135,2
994,2137,2
1404,2137,2
1887,2146,2
1216,2146,2
2101,2146,3
1126,2876,2
1168,2876,2
874,2876,2
58,2142,2
58,2143,7
487,2143,4
1407,2143,3
2082,2143,6
228,2144,9
519,2144,2
1751,2144,4
519,2147,3
940,2147,2
1134,2147,5
1324,2147,5
1897,2147,2
2103,2147,4
911,2148,2
1770,2148,2
157,2149,4
318,2149,2
337,2149,9
401,2149,2
452,2149,2
463,2149,2
502,2149,2
973,2149,6
1190,2149,4
1206,2149,3
1262,2149,4
1305,2149,2
1324,2149,2
1330,2149,3
645,2149,3
706,2149,3
1606,2149,2
1751,2149,2
1928,2149,7
253,2150,2
1816,2150,2
1835,2150,2
2100,2150,2
994,2152,2
97,2153,3
439,2153,5
994,2153,15
1263,2153,2
1324,2153,14
792,2153,4
905,2158,4
79,2164,2
1887,2164,2
630,2164,4
1769,2164,3
2046,2164,2
135,2165,3
136,2165,2
589,2165,3
994,2165,2
1324,2165,12
872,2165,25
968,2167,2
975,2167,2
1324,2167,33
791,2167,4
1085,2167,7
853,2167,7
1730,2167,3
2092,2167,6
141,2169,2
1287,2169,2
853,2169,3
2167,2169,4
585,2171,2
496,2171,2
505,2171,2
893,2171,2
2099,2171,2
2106,2171,2
1245,2172,2
1336,2172,2
1002,2176,2
728,2179,3
1985,2180,2
57,2181,13
207,2181,2
994,2181,4
1324,2181,2
622,2181,2
907,2181,2
1617,2181,3
1784,2181,3
410,2186,9
1324,2186,3
1085,2186,2
853,2186,6
1868,2186,2
645,2188,4
141,2198,7
1157,2198,2
1287,2198,12
631,2198,16
667,2198,2
1666,2198,6
919,2198,5
1454,2202,2
905,2204,2
962,2206,2
809,2207,2
817,2207,5
804,2207,2
975,2210,2
1324,2210,18
1359,2210,6
726,2210,6
905,2210,2
1639,2210,2
1809,2210,2
1317,2211,2
1496,2211,3
1548,2211,4
1877,2211,2
1895,2211,4
1928,2211,2
2083,2211,4
728,2213,2
2179,2213,2
537,2214,5
1062,2214,6
1324,2214,12
682,2214,8
840,2214,5
1727,2214,30
2108,2214,9
113,2215,4
1131,2215,2
1324,2215,2
551,2218,2
564,2218,2
520,2218,2
1371,2218,2
632,2218,2
592,2219,2
1274,2219,2
762,2219,2
1951,2219,2
519,2228,4
994,2228,2
903,2228,5
337,2235,4
1324,2236,2
1324,2238,3
1928,2238,3
2108,2238,2
915,2239,2
679,2239,2
720,2239,2
838,2239,2
1144,2242,3
1281,2242,2
1776,2242,3
113,2243,4
121,2243,2
318,2243,2
359,2243,2
1320,2243,2
1324,2243,2
1751,2243,2
195,2248,2
1026,2248,2
1927,2248,2
914,2250,2
1209,2250,3
1751,2250,3
1462,2253,2
1640,2253,2
1686,2253,2
1324,2255,2
2075,2255,3
994,289,12
1263,289,2
1324,289,11
68,2259,2
537,2259,3
